"Id","Lat","Long","Type"
"Seattle",47.57,-122.386,"EOCC"
"Portland",45.523,-122.676,"EOCC"
"Spokane",47.658,-117.426,"EOCC"
"Boise",43.616,-116.216,"EOCC"
"Eugene",44.052,-123.086,"EOCC"
"Billings",45.783,-108.5,"EOCC"
"Fort Collins",40.585,-105.084,"EOCC"
"Denver",39.739,-104.984,"EOCC"
"Salt lake city",40.693,-111.891,"EOCC"
"Sacramento",38.567,-121.422,"EOCC"
"San Francisco",37.795,-122.38,"EOCC"
"Modesto",37.639,-120.996,"EOCC"
"San Jose",37.308,-121.847,"EOCC"
"Bakersfield",35.373,-119.018,"EOCC"
"Los Angelos",34,-118.249,"EOCC"
"San Diego",32.761,-117.125,"EOCC"
"Las vegas",36.175,-115.137,"EOCC"
"Tempe",33.415,-111.909,"EOCC"
"Tucson",32.221,-110.926,"EOCC"
"Albuquerque",35.084,-106.651,"EOCC"
"El Paso",31.78,-106.449,"EOCC"
"Amarilho",35.222,-101.831,"EOCC"
"lubbock",33.577,-101.855,"EOCC"
"San Antonio",29.429,-98.524,"EOCC"
"Houston",29.771,-95.407,"EOCC"
"Waco",31.549,-97.146,"EOCC"
"Dallas",32.763,-96.663,"EOCC"
"shreveport",32.525,-93.75,"EOCC"
"Little rock",34.761,-92.309,"EOCC"
"Oklahoma city",35.49,-97.529,"EOCC"
"Wichita",37.692,-97.337,"EOCC"
"Kansas city",39.099,-94.578,"EOCC"
"Omaha",41.258,-95.937,"EOCC"
"Sioux Falls",43.549,-96.7,"EOCC"
"Fargo",46.877,-96.789,"EOCC"
"Minneapolis",44.924,-93.307,"EOCC"
"Des Moines",41.597,-93.622,"EOCC"
"Peoria",40.693,-89.588,"EOCC"
"Milwaukee",43.038,-87.906,"EOCC"
"Chicago",41.826,-87.641,"EOCC"
"Grand rapids",42.963,-85.668,"EOCC"
"South bend",41.683,-86.25,"EOCC"
"Detroit",42.394,-83.078,"EOCC"
"Toledo",41.663,-83.555,"EOCC"
"Columbus",40.045,-82.993,"EOCC"
"Indianapolis",39.814,-86.135,"EOCC"
"Springfield",39.794,-89.653,"EOCC"
"St Louis",38.638,-90.342,"EOCC"
"Memphis",35.114,-90,"EOCC"
"Jackson",32.319,-90.203,"EOCC"
"New orleans",29.956,-90.098,"EOCC"
"Mobile",30.683,-88.116,"EOCC"
"tallahassee",30.45,-84.3,"EOCC"
"clearwater",27.976,-82.758,"EOCC"
"Miami",25.832,-80.27,"EOCC"
"Jupiter",26.934,-80.094,"EOCC"
"Orlando",28.538,-81.379,"EOCC"
"Gainesville",29.652,-82.324,"EOCC"
"Jacksonville",30.33,-81.66,"EOCC"
"Waycross",31.213,-82.354,"EOCC"
"Savannah",32.086,-81.099,"EOCC"
"Macon",32.84,-83.632,"EOCC"
"Montgomery",32.36,-86.299,"EOCC"
"Birminghan",33.521,-86.802,"EOCC"
"Nashville",36.142,-86.818,"EOCC"
"chattanooga",35.046,-85.309,"EOCC"
"Atlanta",33.796,-84.348,"EOCC"
"Augusta",33.471,-81.975,"EOCC"
"Columbia",34.014,-80.997,"EOCC"
"Charlotte",35.205,-80.835,"EOCC"
"Knoxville",35.96,-83.92,"EOCC"
"Louisville",38.254,-85.759,"EOCC"
"Cincinnati",39.148,-84.477,"EOCC"
"wytheville",36.948,-81.085,"EOCC"
"Greensboro",36.072,-79.792,"EOCC"
"Raleigh",35.791,-78.643,"EOCC"
"Richmond",37.563,-77.473,"EOCC"
"Washington",38.895,-77.036,"EOCC"
"Charleston",38.355,-81.653,"EOCC"
"Pittsburgh",40.497,-79.997,"EOCC"
"Cleveland",41.391,-81.727,"EOCC"
"Buffalo",42.898,-78.848,"EOCC"
"Syracuse",43.048,-76.147,"EOCC"
"Binghamton",42.098,-75.917,"EOCC"
"Scranton",41.408,-75.662,"EOCC"
"Philadelphia",39.89,-75.21,"EOCC"
"New York",40.707,-73.905,"EOCC"
"Allentown",40.608,-75.49,"EOCC"
"Stamford",41.14,-73.58,"EOCC"
"Bridgeport",41.36,-73.08,"EOCC"
"Hartford",41.89,-72.79,"EOCC"
"Lake Katrina",41.985,-73.988,"EOCC"
"Schenectady",42.88,-73.95,"EOCC"
"Rutland",43.61,-72.973,"EOCC"
"chicopee",42.148,-72.607,"EOCC"
"Providence",40.35,-74.59,"EOCC"
"Boston",42.37,-71.02,"EOCC"
"Worcester",42.31,-71.84,"EOCC"
"Manchester",43.01,-71.52,"EOCC"
"Westbrook",43.677,-70.371,"EOCC"


