from,to,length,capacity,cost
PortoAlegre,Florianopolis,412.816669303066,50,1
PortoAlegre,Brasilia,1641.3235755924302,50,1
Florianopolis,Curitiba,239.290744722797,50,1
SaoPaulo,Brasilia,880.5232852681751,50,1
SaoPaulo,Curitiba,296.887622466876,50,1
SaoPaulo,RioDeJaneiro,361.207594090418,50,1
RioDeJaneiro,BeloHorizonte,294.799021985305,50,1
RioDeJaneiro,Salvador,1219.84836943232,50,1
Salvador,Recife,575.687851060827,50,1
Salvador,Fortaleza,978.5784371243723,50,1
BeloHorizonte,Brasilia,612.014589955996,50,1
BeloHorizonte,Fortaleza,1884.52283510062,50,1
Recife,Fortaleza,553.7497795463939,50,1
