From,To,Cost,Length,Capacity
PortoAlegre,Florianopolis,1,412.816669303066,50
PortoAlegre,Brasilia,1,1641.3235755924302,50
Florianopolis,Curitiba,1,239.290744722797,50
SaoPaulo,Brasilia,1,880.5232852681751,50
SaoPaulo,Curitiba,1,296.887622466876,50
SaoPaulo,RioDeJaneiro,1,361.207594090418,50
RioDeJaneiro,BeloHorizonte,1,294.799021985305,50
RioDeJaneiro,Salvador,1,1219.84836943232,50
Salvador,Recife,1,575.687851060827,50
BeloHorizonte,Brasilia,1,612.014589955996,50
BeloHorizonte,Fortaleza,1,1884.52283510062,50
BeloHorizonte,Recife,1,1573.095112057944,50
Recife,Fortaleza,1,553.7497795463939,50
