from,to,cost,capacity,length
PortoAlegre,Florianopolis,1,50,412.816669303066
PortoAlegre,Brasilia,1,50,1641.3235755924302
Florianopolis,Curitiba,1,50,239.290744722797
Florianopolis,BeloHorizonte,1,50,933.6067329657759
SaoPaulo,Brasilia,1,50,880.5232852681751
SaoPaulo,Curitiba,1,50,296.887622466876
SaoPaulo,RioDeJaneiro,1,50,361.207594090418
RioDeJaneiro,BeloHorizonte,1,50,294.799021985305
RioDeJaneiro,Salvador,1,50,1219.84836943232
Salvador,Recife,1,50,575.687851060827
BeloHorizonte,Brasilia,1,50,612.014589955996
BeloHorizonte,Fortaleza,1,50,1884.52283510062
Recife,Fortaleza,1,50,553.7497795463939
